lon,lat,k2,k3,k4,k5,k6
-73.9221576,40.6543162,0,0,1,1,0
-73.9077096,40.7660832,1,1,2,0,4
-73.9301534,40.752013,1,1,1,0,4
-73.9224105,40.7435926,1,1,1,0,4
-73.9199063,40.6443291,0,0,1,1,0
-73.8139355,40.6845987,1,2,0,2,3
-74.0017681,40.7357605,0,0,1,0,4
-73.9943462,40.7714641,0,1,1,0,4
-73.9230912,40.8166964,1,1,2,3,1
-74.0052266,40.6189731,0,0,1,1,0
-73.9603492,40.5873051,0,0,1,1,0
-73.9598409,40.7200755,0,0,1,0,4
-74.1191918,40.5740943,0,0,3,4,2
-73.9653007,40.6408247,0,0,1,1,0
-73.830928,40.5839322,0,2,0,2,3
-73.8850287,40.6735012,1,2,1,1,5
-73.8214045,40.7054955,1,2,0,2,5
-73.9418323,40.62063,0,0,1,1,0
-74.0115595,40.7047222,0,0,1,0,4
-73.9122725,40.6839362,0,0,1,1,5
-74.0018831,40.7193963,0,0,1,0,4
-74.0021839,40.7607762,0,1,1,0,4
-73.7351479,40.7465586,1,2,0,2,3
-74.2328225,40.5163366,0,0,3,4,2
-73.8192499,40.7312765,1,2,0,2,5
-73.8666598,40.6885612,1,2,0,2,5
-73.850908,40.6956865,1,2,0,2,5
-73.7784444,40.7239426,1,2,0,2,3
-73.9898046,40.699521,0,0,1,0,4
-73.9561548,40.7242379,0,0,1,0,4
-74.007624,40.6047686,0,0,1,1,0
-73.8090925,40.6961518,1,2,0,2,3
-73.7897707,40.6994201,1,2,0,2,3
-73.9154524,40.6557003,0,0,1,1,0
-73.8855916,40.738325,1,1,0,0,5
-73.8900552,40.8653032,1,1,2,3,1
-73.8261055,40.707726,1,2,0,2,5
